INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,longitude,latitude,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
2009692359.0,2009692359544100,5441,0,traffic-accident,traffic-accident,2009-12-09 09:33:00,,2009-12-09 09:36:59,N BROADWAY ST / E SPEER BLVD,3144172.0,1689975.0,-104.9874324,39.7266678,1,123,lincoln-park
2009692478.0,2009692478544100,5441,0,traffic-accident,traffic-accident,2009-12-09 10:50:00,,2009-12-09 11:42:00,700 BLOCK N COLORADO BLVD,3157424.0,1690420.0,-104.9403096,39.7276747,2,222,hale
2009692496.0,2009692496544100,5441,0,traffic-accident,traffic-accident,2009-12-09 11:10:59,,2009-12-09 11:13:00,200 BLOCK N FEDERAL BLVD,3133704.0,1687661.0,-105.0246911,39.7204717,4,411,valverde
2010195688.0,2010195688544100,5441,0,traffic-accident,traffic-accident,2010-04-26 06:14:59,,2010-04-26 06:14:59,I25 HWYNB / W 8TH AVE,3136459.0,1690899.0,-105.0148359,39.7293207,1,123,lincoln-park
2010195780.0,2010195780540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-04-26 08:15:00,,2010-04-26 08:42:59,E VIRGINIA AVE / S GALENA WAY,3177738.0,1683090.0,-104.8682705,39.7071868,3,321,windsor
2010195806.0,2010195806544100,5441,0,traffic-accident,traffic-accident,2010-04-26 08:35:00,,2010-04-26 09:08:59,I70 HWYWB / N HAVANA ST,3178274.0,1708100.0,-104.8657449,39.7758329,5,511,stapleton
2010195853.0,2010195853544100,5441,0,traffic-accident,traffic-accident,2010-04-26 09:10:00,,2010-04-26 09:29:00,E 23RD AVE / N COLORADO BLVD,3157284.0,1698929.0,-104.940621,39.7510358,2,213,south-park-hill
2010195941.0,2010195941540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-04-25 19:34:59,,2010-04-26 10:09:00,3200 E 45TH AVE,3154768.0,1709017.0,-104.9493515,39.778771,2,212,elyria-swansea
2010196020.0,2010196020540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-04-24 12:59:59,,2010-04-26 11:03:00,2100 S CLAY ST,3135151.0,1672081.0,-105.0198399,39.6776802,4,422,college-view-south-platte
2010196171.0,2010196171540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-04-26 12:42:00,,2010-04-26 12:42:00,E LOUISIANA AVE / S COLORADO BLVD,3157411.0,1677767.0,-104.9406328,39.6929399,3,312,cory-merrill
2010214222.0,2010214222544100,5441,0,traffic-accident,traffic-accident,2010-05-06 13:12:00,,2010-05-06 14:29:59,N HAVANA ST / E 31ST PL,3178303.0,1702877.0,-104.8657714,39.7614946,5,511,stapleton
2010214243.0,2010214243540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-05-06 13:27:00,,2010-05-06 14:10:00,1100 BLOCK N GRANT ST,3145290.0,1692644.0,-104.9834037,39.7339774,6,623,capitol-hill
2010214308.0,2010214308540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-05-06 13:47:00,,2010-05-06 14:10:59,10400 E ALAMEDA AVE,3177522.0,1684086.0,-104.8690136,39.7099252,3,321,windsor
